να; 4945119
το; 3934560
δεν; 2764595
είναι; 2710480
θα; 2601251
και; 2405466
μου; 1908383
με; 1672489
για; 1579431
την; 1483336
σου; 1363704
τον; 1352759
τα; 1332077
που; 1263507
σε; 1260581
τι; 1253172
του; 1191492
αυτό; 1148741
ότι; 1045020
στο; 980620
από; 899261
της; 675613
τη; 673583
όχι; 645035
ναι; 640758
αν; 631357
ένα; 625153
τους; 602294
εδώ; 596977
μια; 584732
αλλά; 580901
μας; 580240
είσαι; 559967
σας; 558861
ήταν; 551213
πρέπει; 532904
είμαι; 522672
κι; 515213
οι; 510684
στην; 476673
πολύ; 470523
γιατί; 448405
δε; 439459
εγώ; 421867
πως; 416514
τώρα; 414821
εντάξει; 373685
ξέρω; 369296
κάτι; 366581
τις; 356961
έχει; 349070
έχω; 333105
εσύ; 312776
μην; 309630
θέλω; 292452
καλά; 287834
έτσι; 274047
στη; 269318
στον; 265380
αυτή; 259221
ξέρεις; 258455
κάνεις; 257588
έχεις; 249888
όταν; 249708
μπορώ; 244903
μόνο; 240149
εκεί; 235124
σαν; 234274
μαζί; 233367
πώς; 228775
τίποτα; 220963
κάνω; 210527
όλα; 206757
ευχαριστώ; 204276
μπορεί; 189356
κάνει; 187362
ποτέ; 186846
απ; 185398
τόσο; 183920
στα; 180915
αυτά; 180313
πού; 180148
πάμε; 179638
μέσα; 179015
των; 175959
μπορείς; 171810
πιο; 167180
υπάρχει; 166069
ακόμα; 165474
απλά; 163492
έλα; 163261
έχουμε; 161519
αυτός; 160032
σπίτι; 159005
λοιπόν; 157144
είμαστε; 153741
τότε; 153464
πίσω; 152697
παρακαλώ; 151063
μετά; 149708
πριν; 149123
ίσως; 149089
λίγο; 148489
νομίζω; 147944
κύριε; 147021
γεια; 146974
ένας; 146008
πάντα; 145870
πω; 145078
ποιος; 139501
δουλειά; 137637
μη; 134172
δω; 131989
λες; 130606
αλήθεια; 129027
όπως; 127719
παιδιά; 126792
όλοι; 125948
είπε; 124746
γι; 121359
θέλεις; 119655
άλλο; 118950
δύο; 118600
ας; 118307
ζωή; 117854
είχε; 116403
έναν; 116385
κάνουμε; 116349
πάω; 112827
οχι; 110037
ωραία; 109495
καλό; 108779
είπα; 105360
θες; 104845
πες; 104740
στις; 104018
κοίτα; 103727
πάνω; 102964
έξω; 102374
σένα; 102268
χρόνια; 101941
ώρα; 101369
έχουν; 100648
ούτε; 100212
μία; 97384
μα; 97143
κάτω; 96633
μένα; 96118
φορά; 96053
μέρα; 95201
ήμουν; 95069
κάποιος; 94891
έπρεπε; 94315
κάθε; 94272
μέχρι; 93885
κανείς; 93399
καλή; 93195
όμως; 92809
επειδή; 91618
γυναίκα; 91304
πράγματα; 91064
είστε; 90700
είχα; 90235
χωρίς; 89975
ήθελα; 89161
σωστά; 88653
θέλει; 87054
μαμά; 86941
μπορούμε; 86647
μόλις; 85894
